Designator,Mid X,Mid Y,Layer,Rotation
"C5",57.000000,36.000000,B,90.000000
"C6",63.500000,36.000000,B,180.000000
"C7",67.000000,41.500000,B,-90.000000
"C8",63.500000,34.500000,B,180.000000
"C9",60.500000,43.500000,B,0.000000
"C10",58.500000,36.000000,B,90.000000
"C11",18.250000,40.500000,B,-90.000000
"C12",17.750000,45.500000,B,90.000000
"C13",31.000000,19.000000,B,-90.000000
"C14",60.500000,19.000000,B,-90.000000
"C15",45.500000,19.000000,B,-90.000000
"C16",75.000000,19.000000,B,-90.000000
"C17",27.500000,36.750000,B,-90.000000
"C18",31.500000,31.500000,B,90.000000
"C19",25.250000,33.500000,B,-90.000000
"C20",23.750000,33.500000,B,-90.000000
"Q1",43.000000,36.500000,B,180.000000
"R5",46.000000,36.500000,B,90.000000
"R7",35.750000,30.500000,B,-90.000000
"R8",35.750000,27.500000,B,90.000000
"R13",66.200000,47.200000,B,135.000000
"R14",58.400000,47.200000,B,135.000000
"R15",61.000000,47.200000,B,135.000000
"R16",63.600000,47.200000,B,135.000000
"R25",32.500000,19.000000,B,90.000000
"R26",62.000000,19.000000,B,90.000000
"R27",47.000000,19.000000,B,90.000000
"R28",76.500000,19.000000,B,90.000000
"R29",28.250000,33.000000,B,90.000000
"R32",44.325000,31.000000,B,180.000000
"BZ1",44.275000,33.250000,top,-90.000000
"C1",14.000000,36.500000,top,0.000000
"C2",77.800000,32.300000,top,0.000000
"C3",68.800000,32.100000,top,0.000000
"C4",61.500000,32.250000,top,180.000000
"D1",66.200000,47.200000,top,135.000000
"D2",58.400000,47.200000,top,135.000000
"D3",61.000000,47.200000,top,135.000000
"D4",63.600000,47.200000,top,135.000000
"D5",20.000000,27.400000,top,180.000000
"D6",20.000000,28.900000,top,180.000000
"J1",78.060000,47.000000,top,-90.000000
"J2",5.500000,33.500000,top,0.000000
"J3",47.580000,47.000000,top,-90.000000
"R1",85.500000,40.750000,top,-90.000000
"R2",85.500000,9.250000,top,90.000000
"R3",9.250000,45.500000,top,0.000000
"R4",4.500000,9.250000,top,90.000000
"R6",2.500000,26.250000,top,90.000000
"R9",54.750000,40.750000,top,0.000000
"R10",54.750000,39.250000,top,0.000000
"R11",65.800000,32.100000,top,0.000000
"R12",54.800000,37.000000,top,-90.000000
"R17",24.500000,7.500000,top,90.000000
"R18",23.000000,7.500000,top,-90.000000
"R19",40.500000,7.500000,top,90.000000
"R20",39.000000,7.500000,top,-90.000000
"R21",55.000000,7.510000,top,90.000000
"R22",53.500000,7.500000,top,-90.000000
"R23",69.500000,7.500000,top,90.000000
"R24",68.000000,7.500000,top,-90.000000
"R30",20.000000,25.900000,top,0.000000
"R31",20.000000,30.400000,top,0.000000
"RV1",29.300000,12.000000,top,90.000000
"RV2",58.500000,12.000000,top,90.000000
"RV3",43.900000,12.000000,top,90.000000
"RV4",73.100000,12.000000,top,90.000000
"SW1",82.000000,34.750000,top,180.000000
"SW2",28.250000,8.000000,top,0.000000
"SW3",43.250000,8.000000,top,0.000000
"SW4",57.750000,8.000000,top,0.000000
"SW5",72.250000,8.000000,top,0.000000
"U1",14.500000,33.900000,top,180.000000
"U2",63.000000,39.000000,top,90.000000
"U3",21.000000,44.500000,top,0.000000
"U4",28.250000,32.750000,top,180.000000
"Y1",64.000000,28.500000,top,0.000000
